Nachname;Vorname;m/w/d/?;Geboren;Gestorben;Wirkungsorte im Ruhrgebiet;Folkwang-Lehrende*r;Folkwang-Studierende*r;Infos zu Werken, Dokumenten, Nachlass;Homepage;Wikipedia;Sonst. Links;Sonstige Links;Folkwang Bib Komp-Krzel;Sonstige Bemerkungen;;Quellen
Allende-Blin;Juan;m;24.02.1928;;lebt in Essen;;;Funtenberger-Werkverzeichnis 2020;;https://de.wikipedia.org/wiki/Juan_Allende-Blin;;;AlleJ;;;
Beele;Alfried;m;;;;;Ja;;;;https://www.dohr.de/autor/beele.htm;;;;;
Benninghoff;Ortwin;m;;;;;;;;https://de.wikipedia.org/wiki/Ortwin_Benninghoff;;;BennO;;;
Birkenk”tter;J”rg;m;;;;;;;;https://de.wikipedia.org/wiki/J%C3%B6rg_Birkenk%C3%B6tter;;;BirJ;;;
Bitan;Guy;m;;;;;;;http://www.bitan.eu/;;;;;;;
Blomann;Karl-Heinz;m;;;;;;;;https://de.wikipedia.org/wiki/Karl-Heinz_Blomann;;;;;;
Blomann;Ulrich;m;;;;;;;;;http://www.komponistenlexikon.de/komponisten.php?id=280&name=blomann&vorname=dr.-ulrich-j.;;BloU;;;
Bornh”ft;Achim Christian;m;;;;;;;;https://de.wikipedia.org/wiki/Achim_Bornh%C3%B6ft;;;;;;
Brmmer;Ludger;m;;;;;;;;https://de.wikipedia.org/wiki/Ludger_Br%C3%BCmmer;;;;;;
Bruttger;Thomas;m;;;;Folkw„ngler;;;;;https://www.folkwang-uni.de/home/hochschule/personen/lehrende/vollanzeige/personen-detail/thomas-bruttger/;;BruTh;;;
Buschmann;Rainer glen;m;;;;;;;;https://de.wikipedia.org/wiki/Glen_Buschmann;;;BuschR;;;
Delorko;Ratko;m;;;;;;;https://www.delorko.com/;https://de.wikipedia.org/wiki/Ratko_Delorko_(Komponist);;;;;;
Escher;Wolf;m;;;;;;;;https://de.wikipedia.org/wiki/Wolf_Escher;;;EscheW;;;
Foretic;Silvio;m;;;;;;;;;https://www.mgg-online.com/article?id=mgg04732&v=1.0&rs=mgg04732;;;;;
Fr”hlich;Norbert;m;;;;;;;;;https://www.hfm-trossingen.de/hochschule/personen/detail/norbert-froehlich;;FroehN;;;
Garavaglia;Javier Alejandro;m;;;;;;;;;https://icem.folkwang-uni.de/~gara/;;;;;
Grandjean;Wolfgang;m;;;;;;;http://wolfgang-grandjean.de/;;;;;;;
Hahne;Dietrich;m;;;;;;;https://www.dietrich-hahne.de/;;;;;;;
H„nschke;Bernd;m;;;;;;;;https://de.wikipedia.org/wiki/Bernd_H%C3%A4nschke;;;;;;
Hauámann;Karin;w;;;;;;;https://karinhaussmann.de/start.htm;;;;;;;
Heinrichs;Heinz-Albert;m;;;;;;;;https://de.wikipedia.org/wiki/Heinz-Albert_Heindrichs;;;;;;
Heáler;Hans-Joachim;m;;;;;;;http://www.hansjoachimhessler.de/;;https://www.lokalkompass.de/bochum/c-kultur/hans-joachim-hessler-erinnert-an-einen-maezen_a1715389;;;;;
Heucke;Stefan;m;;;;;;;https://stefanheucke.de/;;https://www.derwesten.de/kultur/kann-man-davon-leben-stefan-heucke-ein-komponist-ganz-im-heute-id10490718.html;https://www.ruhr-guide.de/kultur/buehne-und-musik/urauffuehrung-der-konzertreihe-zeitreise/19023,0,0.html;HeuckS;;;
Hippler;Dietmar;m;;;;;;;;;;;;;;
Huber;Nicolaus A.;m;;;;;;;;https://de.wikipedia.org/wiki/Nicolaus_A._Huber;;;HubN;;;
Hufschmidt;Wolfgang;m;;;;;;;;https://de.wikipedia.org/wiki/Wolfgang_Hufschmidt;;;;;;
Kaiser;Ludwig;m;;;;;;;https://ludwigkaiser.de/index.php/vita/;;https://kulturraum-melanchthonkirche.de/bochumer-tage-fuer-neue-musik/;;;;;
Kampe;Gordon;m;;;;;;;http://www.gordonkampe.de/;;;;;;;
Kern;Matthias;m;;;;An Folkwang studiert;;Materialien Mai 22 an Folkwang Bibliothek bergeben;;https://de.wikipedia.org/wiki/Matthias_Kern_(Musiker);;;;"erg„nzung KIR durch Folkwang Mai 22; Witwe: Ilse Kern, Sohn: Burkhard";;
Kattenstedt;Heyno;m;;;;;;;;;https://www.kirchegelsenkirchen.de/infos/nachrichten/artikel/auftakt-zum-ewigen-leben;;;;;
Lenz;Albert;m;;;;;;Nachlass in der Folkwang Bibliothek;;;;;;;;
Linke;Norbert;m;;;;;;;;https://de.wikipedia.org/wiki/Norbert_Linke;;;;;;
L”chter;Jrgen;m;;;;;;;;;http://www.musikschuleschwarze.de/Inhalt/Unterrichtskonzept/Prof__Lochter/prof__lochter.htm;;;;;
Marks;Johannes;m;;;;;;;https://www.johannesmarkskomponist.de/;;;;;Im Mai 22 hinzugefgt durch Heá;;
Meyer von Bremen;Alexander;m;;;;;;;;https://de.wikipedia.org/wiki/Alexander_Meyer_von_Bremen;;;;;;
Neuhaus;Thomas;m;;;;Derzeit Folkwang-Professor, ICEM;;;;;https://www.folkwang-uni.de/home/hochschule/personen/lehrende/vollanzeige/personen-detail/prof-thomas-neuhaus/;;;;;
Niehusmann;Frank;m;;;;;;;https://www.niehusmann.org/;;;;;;;
Niehusmann;Volker;m;;;;;;;https://niehusmann.com/home.html;;;;;;;
Pieper;Andreas;m;;;;;;;;;https://are-verlag.de/blog/autor/pieper-andreas-1958/;;;;;
Radko;Piotr;m;;;;;;;http://www.piotr-radko.com/de/;;;;;Mai 22: nach Abgabe einer Partitur in der Stadtbibliothek ber den Umuzg der Sammlung informiert;;
Reith;Dirk;m;;;;Folkwang-Professor;;;;;https://www.folkwang-uni.de/home/hochschule/personen/lehrende/vollanzeige/personen-detail/prof-dirk-reith/;;;;;
